1. Copper Top BBQ – Big Pine, CA
2. Art of Flavors – Las Vegas, NV
3. Soho Japanese Restaurant – Las Vegas, NV
4. TKB Bakery and Deli – Indio, CA
5. Ono Seafood – Honolulu, HI
6. Shark Pit Maui – Lahaina, HI
7. Gaucho Parilla Argentina – Pittsburgh, PA
8. Bobboi Natural Gelato – La Jolla, CA
9. Golden Bear Trading Company – San Francisco, CA
10. Little Miss BBQ – Phoenix, AZ
11. Dat Cajun Guy – Haleiwa, HI
12. Sweet Dogs – Miami, FL
13. Aviva by Kameel – Atlanta, GA
14. Sweet Spice – Savannah, GA
15. Royal Taj – Columbia, MD
16. Arun's Indian Kichen – Coral Spring, FL
17. Hall's Chophouse – Charleston, SC
18. Bronze Cafe – Las Vegas, NV
19. Saffron and Rose Ice Cream – Los Angeles, CA
20. Buddha Thai Bistro – Vacaville, CA
21. Yoshino Japanese Deli – Carlsbad, CA
22. Big Al's Pizzeria – Maywood, CA
23. Andytown Coffee Roasters – San Francisco, CA
24. Kech Cafe – Fountain Valley, CA
25. Joe's Kansas City Bar-B-Que – Kansas City, KS
26. Los Andes Restaurant – Providence, RI
27. Lahaina Luna Cafe – Lahaina, HI
28. Bell Street Farm – Los Alamos, CA
29. Tacos El Gordo De Tijuana BC – Chula Vista, CA
30. Detroit Coney Grill – Tempe, AZ
31. Sessions West Coast Deli – Newport Beach, CA
32. Baguette Cafe – Las Vegas, NV
33. Carrara Pastries – Moorpark, CA
34. Bogart's Smokehouse – Saint Louis, MO
35. Reading Terminal Market – Philadelphia, PA
36. Piperi Mediterranean Grill – Boston, MA
37. Kitchen Table Cafe – Denver, CO
38. Mood Cafe – Philadelphia, PA
39. Santos Lucha Libre – Phoenix, AZ
40. Porto's Bakery – Burbank, CA
41. El Dorado Cantina – Las Vegas, NV
42. Jougert Bar – Burlingame, CA
43. Araya's Place Thai Vegan Restaurant – Los Angeles, CA
44. Joe's Falafel – Los Angeles, CA
45. Persimmon Cafe – Charleston, SC
46. Beiler's Bakery – Philadelphia, PA
47. Starbread – Sacramento, CA
48. Kersmon Caribbean Restaurant – Greenacres, FL
49. Vitality Tap – San Diego, CA
50. Chama Gaucha Brazilian Steakhouse – Downers Grove, IL
51. Da Poke Shack – Kailua Kona, HI
52. Poke Express – Las Vegas, NV
53. Marukame Udon – Honolulu, HI
54. Bronzed Aussie – Los Angeles, CA
55. Bite Into Maine – Cape Elizabeth, ME
56. Franklin Barbecue – Austin, TX
57. Eddie V's Prime Seafood – San Diego, CA
58. Hey!... You Gonna Eat or What? – Austin, TX
59. Mama D's Italian Kitchen – Newport Beach, CA
60. Outlaws Cafe – Van Nuys, CA
61. Subculture Extraordinary Sandwiches – Huntington Beach, CA
62. Go Greek Yogurt – Beverly Hills, CA
63. Ninja Sushi and Teriyaki – Roseville, CA
64. Los Agaves – Santa Barbara, CA
65. Sal, Kris, & Charlie's Deli – Astoria, NY
66. Genie Den – Garden Grove, CA
67. Garbo's Grill – Key West, FL
68. T-Deli – San Diego, CA
69. Rose's Luxury – Washington, DC
70. Embargo Grill – San Diego, CA
71. Your Kitchen – Honolulu, HI
72. LouEddie's Pizza – Skyforest, CA
73. Blues City Deli – Saint Louis, MO
74. Dametra Cafe – Carmel, CA
75. Nick's Next Door – Los Gatos, CA
76. Don Julio's Rincon Latin Grill and Pupusas – Rohnert Park, CA
77. Mr. Mama's – Las Vegas, NV
78. Los Tacos No. 1 – New York, NY
79. Beyer Deli – San Diego, CA
80. Mojo Donuts – Pembroke Pines, FL
81. Peter's Kettle Corn – Oakland, CA
82. The Pocket Burger Shack – Sunset Beach, CA
83. Mouthful Eatery – Thousand Oaks, CA
84. Playground 2.0 – Santa Ana, CA
85. Monell's Dining & Catering – Nashville, TN
86. Zenwich – Elmhurst, IL
87. Commonwealth Restaurant – Burbank, CA
88. Istanbul Grill California – Fountain Valley, CA
89. Mister Falafel – San Diego, CA
90. Vietnam Poblano – Houston, TX
91. Tanioka's Seafoods & Catering – Waipahu, HI
92. Yak's On The 5 – Dunsmuir, CA
93. Titas Taco House – Humble, TX
94. Pomo Pizzeria Napoletana – Phoenix, AZ
95. Eli's BBQ – Cincinnati, OH
96. Johnny Pacific – Winnetka, CA
97. The Cinnamon Snail – New York, NY
98. Cafe la Maude – Philadelphia, PA
99. Cream Pan – Tustin, CA
100. Pi-Hi Cafe – Chicago, IL
